baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
tusk,16,5,none,4000,4,235.6091,0.0000,4000.0000,137.5253,
tusk,16,5,none,6000,4,521.3606,0.0000,6000.0000,157.6474,
tusk,16,5,none,8000,4,150.1636,0.0000,3303.6000,162.6284,
tusk,16,5,none,10000,4,868.9550,0.0000,10000.0000,201.6841,
tusk,16,5,none,12000,4,1042.1056,0.0000,12000.0000,242.6695,
tusk,16,5,none,15000,4,1303.3324,0.0000,15000.0000,301.0038,
tusk,16,5,none,20000,4,1404.4644,0.0000,20000.0000,314.6685,
tusk,16,5,none,25000,4,426.5273,0.0000,9383.6000,255.6003,
tusk,16,5,none,30000,4,1410.6205,0.0000,30000.0000,325.3386,
tusk,16,5,none,40000,4,1397.4994,0.0000,30748.2115,311.7406,
tusk,16,5,none,50000,4,1391.4538,0.0000,30611.9833,327.3517,
tusk,22,7,none,500,4,48.9640,0.0000,500.0000,1605.3969,
tusk,22,7,none,1000,4,100.6893,0.0000,1000.0000,653.4579,
tusk,22,7,none,2000,4,195.4457,0.0000,2000.0000,259.8861,
tusk,22,7,none,4000,4,391.0941,0.0000,4000.0000,152.4892,
tusk,22,7,none,6000,4,585.6112,0.0000,6000.0000,180.1520,
tusk,22,7,none,8000,4,782.0492,0.0000,8000.0000,215.8211,
tusk,22,7,none,10000,4,1001.3613,0.0000,10000.0000,245.8594,
tusk,22,7,none,12000,4,1171.3835,0.0000,12000.0000,246.7218,
tusk,22,7,none,15000,4,1530.7296,0.0000,15000.0000,327.3625,
tusk,22,7,none,20000,4,1905.6606,0.0000,20000.0000,407.4396,
tusk,22,7,none,25000,4,1871.2049,0.0000,25000.0000,375.0809,
tusk,22,7,none,30000,4,1899.1837,0.0000,30000.0000,387.2696,
tusk,22,7,none,40000,4,1881.3907,0.0000,40000.0000,369.4957,
tusk,22,7,none,50000,4,1910.7750,0.0000,42037.0500,373.8515,
tusk,10,3,none,500,5,531.9268,0.0000,500.0000,873.1847,
tusk,10,3,none,1000,5,561.9205,0.0000,1000.0000,805.2610,
tusk,10,3,none,2000,5,597.7074,0.0000,1102.2909,5896.5556,
tusk,10,3,none,4000,5,741.4261,0.0000,4000.0000,764.1786,
tusk,10,3,none,6000,5,860.7893,0.0000,6000.0000,794.5781,
tusk,10,3,none,8000,5,610.3595,0.0000,1380.6364,5168.2129,
tusk,10,3,none,10000,5,1100.3825,0.0000,10000.0000,826.8926,
tusk,10,3,none,12000,5,1219.6616,0.0000,12000.0000,904.1957,
tusk,10,3,none,15000,5,1235.2740,0.0000,15000.0000,899.1431,
tusk,10,3,none,20000,5,1240.6086,0.0000,16250.0556,884.2964,
tusk,10,3,none,25000,5,1236.4792,0.0000,16161.4750,908.2815,
tusk,10,3,none,30000,5,1241.0562,0.0000,16260.1792,898.6264,
tusk,10,3,none,40000,5,1237.4198,0.0000,16179.9028,895.4935,
tusk,10,3,none,50000,5,1243.8580,0.0000,16321.5417,916.5998,
tusk,16,5,none,500,5,42.7417,0.0000,500.0000,832.5280,
tusk,16,5,none,1000,5,86.0100,0.0000,1000.0000,369.6281,
tusk,16,5,none,2000,5,118.3545,0.0000,2000.0000,114.2250,
tusk,16,5,none,4000,5,347.2497,0.0000,4000.0000,158.9116,
tusk,16,5,none,6000,5,521.3600,0.0000,6000.0000,155.4505,
tusk,16,5,none,8000,5,314.7182,0.0000,6923.8000,194.8480,
tusk,16,5,none,10000,5,41.0545,0.0000,903.2000,134.3045,
tusk,16,5,none,12000,5,262.8909,0.0000,5783.6000,164.4604,
tusk,16,5,none,15000,5,120.1727,0.0000,2643.8000,144.0075,
