baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
fairdag-bof,10,3,bof,40000,4,95.1489,0.0000,270.6184,7029.6220,
fairdag-bof,10,3,bof,50000,4,132.4205,0.0000,291.4717,7971.2698,
fairdag-bof,16,5,bof,20000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,25000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,30000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,40000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,50000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,10000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,20000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,25000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,30000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,40000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,50000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,10,3,bof,20000,5,142.1932,0.0000,312.9833,7290.5833,
fairdag-bof,10,3,bof,25000,5,135.5702,0.0000,273.5000,8473.0757,
fairdag-bof,10,3,bof,30000,5,89.3608,0.0000,102.8095,14049.5331,
fairdag-bof,10,3,bof,40000,5,98.1545,0.0000,262.8378,7582.3808,
fairdag-bof,10,3,bof,50000,5,142.4659,0.0000,307.7910,7357.2186,
fairdag-bof,16,5,bof,20000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,25000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,30000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,40000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,50000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,20000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,25000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,30000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,40000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,50000,5,0.0000,0.0000,0.0000,0.0000,
